match, raw_corner_mean_px, calib_corner_mean_px
match1, 2.9, 3.0
match2, 2.1, 4.3
match3, 1.7, 7.6
match4, 2.6, 7.2
match5, 582.9, 579.0
match6, 1.0, 1.1
match7, 1.9, 2.0
match8, 1.8, 1.7
match9, 2.6, 2.8
match10, 2.6, 10.1
match11, 2.1, 16.2
match12, 1.8, 1.9
match13, 3.1, 3.1
match14, 1.9, 1.9
match15, 1.6, 10.6
match16, 2.5, 3.1
match17, 1.9, 1.8
match18, 2.6, 3.1
match19, 2.5, 2.2
match20, 1.5, 2.2
match21, 1.7, 3.0
match22, 1.6, 2.5
match23, 678.4, 679.6
match24, 276.8, 273.3
match25, DETECT_FAILED, DETECT_FAILED
match26, DETECT_FAILED, DETECT_FAILED
test_match1, 1.5, 6.3
test_match2, 4.3, 5.5
test_match3, 569.4, 568.3
